settings,best_score,first_guess,best_epoch
seed-3-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.753779888153076,crane,9927
seed-4-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.75248384475708,saint,9904
seed-5-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.785313367843628,caret,9777
seed-4-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.749460220336914,carle,9524
seed-2-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.6928727626800537,crate,5438
seed-3-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.7248380184173584,trice,7174
seed-2-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.790064811706543,clint,9856
seed-1-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.8578834533691406,saith,8934
seed-1-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.793952703475952,saint,7719
seed-6-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.7684667110443115,saint,9724
seed-5-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.7680346965789795,plash,7988
seed-6-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.7170627117156982,crost,4677
seed-7-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.795680522918701,ceorl,9306
seed-8-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.7377970218658447,carle,9663
seed-7-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.7611231803894043,coast,8443
seed-10-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.799136161804199,caret,9628
seed-10-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.6453564167022705,crate,9666
seed-8-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.783153533935547,chose,7949
seed-9-lr-0.001-n_layers-4-n_epochs-10000-batch_size-512,3.7688984870910645,slant,7732
seed-9-lr-0.001-n_layers-5-n_epochs-10000-batch_size-512,3.6544277667999268,crate,9258
seed-3-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.294168472290039,glout,589
seed-1-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.2276458740234375,sonar,665
seed-2-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.170626640319824,saice,908
seed-1-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.991792678833008,slane,8344
seed-2-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.9788339138031006,prate,6809
seed-1-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.8561556339263916,crane,9879
seed-1-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.8159828186035156,saine,9119
seed-3-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.948164224624634,prate,8279
seed-4-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.3568034172058105,prion,2327
seed-3-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.8112311363220215,pearl,9103
seed-4-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.962851047515869,saint,6378
seed-5-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.278185844421387,drant,3168
seed-4-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.87343430519104,saine,9753
seed-3-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.822462320327759,saint,9582
seed-2-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.8082075119018555,carte,9912
seed-4-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.838444948196411,crone,9646
seed-2-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.7624192237854004,salet,8729
seed-5-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.9874730110168457,cruet,8781
seed-6-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.251835823059082,citer,626
