settings,best_score,first_guess,best_epoch
seed-5-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.8069114685058594,slate,9454
seed-7-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.220734596252441,clint,768
seed-6-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.955939531326294,slate,5250
seed-5-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.7749462127685547,ceorl,9065
seed-7-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.959395408630371,prate,9479
seed-6-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.87732195854187,crane,9969
seed-8-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.31965446472168,trone,1566
seed-7-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.9010801315307617,crate,6636
seed-8-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.9326136112213135,slate,9723
seed-8-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.9019439220428467,prone,9168
seed-9-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.3092875480651855,saith,830
seed-10-lr-0.001-n_layers-0-n_epochs-10000-batch_size-512,4.271274566650391,tiers,761
seed-9-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,3.9896328449249268,slane,5284
seed-9-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.864794969558716,crate,9875
seed-8-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.837581157684326,saith,9149
seed-10-lr-0.001-n_layers-2-n_epochs-10000-batch_size-512,3.8479483127593994,slate,9132
seed-6-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.871274471282959,saint,9424
seed-7-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.8086395263671875,sorel,9041
seed-10-lr-0.001-n_layers-1-n_epochs-10000-batch_size-512,4.037148952484131,crine,9854
seed-9-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.787904977798462,crane,9334
seed-10-lr-0.001-n_layers-3-n_epochs-10000-batch_size-512,3.792224645614624,carle,9104
